Subject ID, Ref, Near, Distance of Near from Near - Distance of Near from Ref, Distance of Ref from Near - Distance of Ref from Ref
3765,pink_cylinder_placard,cow_placard,-0.004429633099458773,0.014424754528624711
3765,blue_cube_placard,boat_placard,0,0
3765,red_ball_placard,pooh_placard,-0.07911733202925024,0.035183139851925754
3765,yellow_pyramid_placard,hippo_placard,0,0
3765,orange_box_placard,elephant_placard,-0.10644701590494914,-0.09023722490140547
3765,green_cone_placard,duck_placard,0,0
3773,pink_cylinder_placard,cow_placard,-0.016404321575519687,0.0135775418796887
3773,blue_cube_placard,boat_placard,-0.03120865319269123,0.006518264232365877
3773,red_ball_placard,pooh_placard,-0.1852764653756398,-0.006312561129976705
3773,yellow_pyramid_placard,hippo_placard,0,0
3773,orange_box_placard,elephant_placard,-0.011807750924892816,0.017921784682473792
3773,green_cone_placard,duck_placard,0,0
3798,pink_cylinder_placard,frog_placard,-0.031467110772964435,-0.03978787061466944
3798,blue_cube_placard,airplane_placard,-0.29489303962120683,-0.38029325775322365
3798,red_ball_placard,book_placard,-0.4146615012973297,0.0038551704971777167
3798,yellow_pyramid_placard,lion_placard,0,0
3798,orange_box_placard,car_placard,-0.19329531979473197,0.15957959503768354
3798,green_cone_placard,raptor_placard,-0.11038731181669688,1.2604944312650037
3805,pink_cylinder_placard,frog_placard,0,0
3805,blue_cube_placard,airplane_placard,0,0
3805,red_ball_placard,book_placard,0,0
3805,yellow_pyramid_placard,lion_placard,0,0
3805,orange_box_placard,car_placard,-0.09158780369085863,0.21937346412581676
3805,green_cone_placard,raptor_placard,0,0
3809,pink_cylinder_placard,cow_placard,0.014262022277203214,-0.005374150263650395
3809,blue_cube_placard,boat_placard,-0.004154824175029283,0.011724111325834763
3809,red_ball_placard,pooh_placard,-0.03857263805233498,-0.051658766327558885
3809,yellow_pyramid_placard,hippo_placard,-0.19348551205606485,0.07809039029794243
3809,orange_box_placard,elephant_placard,0.010583255737056506,0.004407032878480406
3809,green_cone_placard,duck_placard,0.0366193455897949,-0.01622973820345753
3818,pink_cylinder_placard,frog_placard,0,0
3818,blue_cube_placard,airplane_placard,0,0
3818,red_ball_placard,book_placard,0,0
3818,yellow_pyramid_placard,lion_placard,0,0
3818,orange_box_placard,car_placard,0,0
3818,green_cone_placard,raptor_placard,-0.6594940901608247,0.25327222775044983
3822,pink_cylinder_placard,cow_placard,-0.0342153129818411,0.06411647188491118
3822,blue_cube_placard,boat_placard,-0.008487218378402987,-0.0019243239472478122
3822,red_ball_placard,pooh_placard,-0.0032669114402662483,0.023170091716398382
3822,yellow_pyramid_placard,hippo_placard,-0.0600847487916069,0.13873826582794604
3822,orange_box_placard,elephant_placard,-0.18431927253687197,0.13997430509577194
3822,green_cone_placard,duck_placard,-0.0023746289925904366,-0.008316271072387587
3823,pink_cylinder_placard,frog_placard,-0.0009743052937046311,0.0010978308142415734
3823,blue_cube_placard,airplane_placard,-0.10632316920596441,-0.015045973833001358
3823,red_ball_placard,book_placard,0,0
3823,yellow_pyramid_placard,lion_placard,-0.037710550420704377,0.003607673840002811
3823,orange_box_placard,car_placard,0.007337582510496889,0.08570903258937919
3823,green_cone_placard,raptor_placard,-0.17504487581964995,0.05165029145743563
3829,pink_cylinder_placard,cow_placard,-0.028594059430220177,0.06705023828835692
3829,blue_cube_placard,boat_placard,-0.11321713191203096,0.027033989537465438
3829,red_ball_placard,pooh_placard,-0.07184822481839509,-0.03600467129642913
3829,yellow_pyramid_placard,hippo_placard,-0.005265950339831292,-0.00040190773521423776
3829,orange_box_placard,elephant_placard,-0.027122827762338732,0.007604155610774604
3829,green_cone_placard,duck_placard,-0.07730808460459053,-0.042447694005451383
3834,pink_cylinder_placard,frog_placard,-0.12153087851724455,-0.05400468055392519
3834,blue_cube_placard,airplane_placard,0,0
3834,red_ball_placard,book_placard,-0.015341264643258863,0.01142930612542931
3834,yellow_pyramid_placard,lion_placard,-0.0012466316813779944,0.16826656427696304
